id,section_number,section_short,subsection,question,answer,school,location,source,last_updated
VGWS-FAQ-001,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),What is the Early Years Programme (EYP) at VGWS?,"EYP is the youngest stage of the IB Early Years Programme (EYP), designed for children aged 3 to 6 (Nursery to senior Kg / Prep III). It goes beyond traditional early learning by emphasizing play, curiosity, relationships and holistic development rather than formal academics.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-002,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),How does EYP differ from a regular pre-school programme?,"At Vishwashanti Gurukul World School (VGWS), EYP learners explore their environment through play, relationships and interaction with peers, teachers, family and the community, with teachers acting as partners, nurturers and guides rather than instructors. The focus is on nurturing independence at age-appropriate tasks, not rote content delivery.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-003,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),Is EYP a boarding or day programme?,At Vishwashanti Gurukul World School(VGWS) EYP is a day programme only. Boarding at VGWS begins from Grade 1 (around age 6); Nursery to senior Kg / Prep III children are enrolled as day scholars.,Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-004,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),What skills does EYP build before a child moves into PYP proper?,"At Vishwashanti Gurukul World School(VGWS) EYP nurtures creativity, curiosity and research shows children in PYP Early Years frameworks develop stronger early literacy skills, school readiness and learning rates compared to normative samples, as documented by the International Baccalaureate Organisation (ibo.org).",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-005,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),How is a young child's progress assessed in EYP?,"At Vishwashanti Gurukul World School(VGWS) Assessment at this stage is continuous, observational and collaborative between teachers and children rather than pen-and-paper testing — teachers document how children explore, question, socialise and problem-solve, and use this to guide the next stage of learning.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-006,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),Does EYP introduce multiple languages?,"Yes. Multilingualism is woven in early, with exposure to language beyond the child's mother tongue as part of building global-mindedness, consistent with the PYP's broader multilingual approach, VGWS offers Hindi, English, Marathi, Spanish, French and German across the continuum.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-007,1,Academics / IB Continuum,1A. Early Years Programme (EYP) — Ages 3 to 5 (Nursery -- KG),When does a child move from EYP into the main PYP classroom structure?,"Children typically transition from the EYP (Nursery-- Senior KG/Prep III) into Grade 1 of the formal Primary Years Programme, which is also when boarding becomes an option for families who choose it.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-008,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),What is the IB PYP at VGWS?,"The IB Primary Years Programme is an internationally recognised framework for students aged 6--11. At Vishwashanti Gurukul World School(VGWS), learners inquire, research and develop questioning and critical-thinking skills, taking a deep dive into conceptual learning rather than memorisation-based instruction.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-009,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),What does assessment look like in PYP?,"At Vishwashanti Gurukul World School(VGWS) Assessment is continuous and collaborative — teachers and students work together to monitor, document and report learning. Students are not limited to pen-and-paper tests; they present their understanding in multiple ways, with a focus on conceptual understanding and skill development.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-010,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),How does PYP holistically support a child's growth?,"At Vishwashanti Gurukul World School(VGWS) PYP focuses on total growth — academic and personal — through inquiry-based learning and intercultural understanding, recognising that young learners are resourceful and creative individuals who learn at different rates. Play and real-life exploration drive inquiry and strengthen communication, thinking, social, self-management and research skills.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-011,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),How does multilingualism fit into PYP at VGWS?,"At Vishwashanti Gurukul World School(VGWS) Multilingualism is celebrated throughout PYP. VGWS students explore languages beyond their mother tongue — including Hindi, English, Marathi, Spanish, French and German — building both communication skills and cultural understanding.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-012,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),Is there a final exhibition or capstone project in PYP?,"Yes At Vishwashanti Gurukul World School(VGWS) — PYP culminates in a student-led exhibition where Grade 5 learners undertake an in-depth, self-directed inquiry into a real-world issue, presenting their research and reflections to the school community, parents and peers — VGWS's PYP Student-Led Conference events reflect this culture of authentic, student-owned learning.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-013,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),Can a child join VGWS's PYP mid-way from another curriculum?,"Yes At Vishwashanti Gurukul World School(VGWS), subject to seat availability and an age/grade-appropriate assessment. VGWS's admissions team evaluates the child's readiness and academic profile before confirming placement, and offers honest guidance on fit before a family commits.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-014,1,Academics / IB Continuum,1B. Primary Years Programme (PYP) — Ages 6 to 11 (Grade 1 -- Grade 5),Does PYP prepare a child for the more rigorous MYP that follows?,"Yes At Vishwashanti Gurukul World School(VGWS) — PYP's emphasis on inquiry, self-management and conceptual thinking builds directly into MYP's interdisciplinary, subject-based structure, so the transition at Grade 6 is a natural progression rather than an abrupt academic shift.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-015,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),What is the MYP at VGWS?,"At Vishwashanti Gurukul World School(VGWS), The Middle Years Programme is an IB framework for students aged 11--16 (Grade 6--10), offering a holistic, inquiry-based approach that develops critical thinking and interdisciplinary learning as part of the wider IB continuum.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-016,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),What is interdisciplinary learning in MYP?,"At Vishwashanti Gurukul World School(VGWS), It means integrating knowledge and skills from multiple subjects to address complex, real-world issues — for example, an Interdisciplinary Unit (IDU) might combine science and humanities to examine a global challenge, building a genuinely holistic understanding rather than siloed subject knowledge.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-017,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),What is the MYP Personal Project?,"At Vishwashanti Gurukul World School(VGWS) The Personal Project is a culminating, independent project in which students explore a personal passion in the context of a global issue, demonstrating the skills built across MYP. It is a mandatory component for the MYP certificate. At VGWS, the AY2025-26 MYP-5 Personal Project average score was 6.43, above an IB world average of 3.99 — a marker of the depth of independent inquiry VGWS students demonstrate.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-018,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),What is an e-Portfolio in MYP?,"At Vishwashanti Gurukul World School (VGWS) The e-Portfolio is IB coursework required in Arts, Design or Physical & Health Education (PHE) — students choose one subject, complete the required tasks, and their work is marked by teachers and externally moderated by the IB against published criteria.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-019,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),How are On-Screen Examinations conducted in MYP?,"At Vishwashanti Gurukul World School (VGWS), IB conducts digital on-screen examinations in English (Language & Literature), Language Acquisition (French/Spanish/German/Hindi), Mathematics, Integrated Humanities, Physics, Chemistry, Biology or Integrated Sciences, and the Interdisciplinary Unit (IDU), assessing knowledge and skills within a specified time frame.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-020,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),Does VGWS hold a graduation event at the end of MYP?,"Yes — VGWS holds an annual MYP-5 Graduation to mark the completion of the Middle Years Programme, celebrating student achievement before students move into the Diploma or Career-related Programme.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-021,1,Academics / IB Continuum,1C. Middle Years Programme (MYP) — Ages 11 to 16 (Grade 6 -- 10),Can a CBSE student join MYP directly?,"Yes At Vishwashanti Gurukul World School (VGWS) — the smoothest entry point from a national board is at the start of Grade 6, when MYP begins. Entry at Grade 9 or later is assessed case-by-case based on the student's academic profile, and the admissions team gives an honest recommendation on fit before the family decides.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-022,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),What makes VGWS's IBDP results notable for AY2025-26?,"VGWS's IBDP cohort achieved an average score of 31.08, with 79 top-band grades, 17 perfect subject scores of 7/7, and 11 Grade-A Extended Essays. The top individual score in the cohort was 42 out of 45, achieved by Arnav Nilesh Kutte.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
