id,fact,source_document,section,page,evidence,confidence,category
F001,The official institutional designation is Vishwashanti Gurukul World School.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.1,1,official institutional designation,1.0,identity
F002,The 'World School' suffix is a controlled branding measure to distinguish the institution from other MAEER-managed entities and from schools operating under CBSE or other curricula.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.1,1,controlled branding measure,1.0,identity
F003,The 'World School' designation is a primary indicator of the school's status as a full IB Continuum institution.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.1,1,primary indicator of IB Continuum status,1.0,identity
F004,The school is owned and governed by the Maharashtra Academy of Engineering and Educational Research (MAEER).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.2,1,owned and governed by MAEER,1.0,identity
F005,"The MAEER Trust registered office is Survey No. 124, Kothrud Paud Road, Ex-Servicemen Colony, Pune-411 038.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.2,1,Trust Registered Office,1.0,identity
F006,"The institutional physical address is At. Rajbaug, Loni Kalbhor, District Pune.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.2,1,Institutional Physical Address,1.0,identity
F007,The school is located on a 125-acre green campus.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.3,1,125-acre green campus,1.0,identity
F008,The campus infrastructure supports comprehensive day and residential educational programs.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 1.3,1,day and residential educational programs,1.0,identity
F009,The school is an International Day and Residential School.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Identity Q6,4,International Day and Residential School,1.0,identity
F010,The current Head of School is Dr. Vidhukesh Vimal.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Identity Q7,4,Head of School,1.0,identity
F011,The primary pedagogical framework is the International Baccalaureate (IB).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Identity Q9,4,primary pedagogical framework,1.0,identity
F012,The Sanskrit motto on the official logo is: tejasvinavadhitamastu (Devanagari script on logo).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Misc Q4,6,Sanskrit motto on logo,1.0,brand
F013,The campus infrastructure supports 20+ sports disciplines.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Accolades Q10,6,20+ sports,1.0,identity
F020,Vishwashanti Gurukul World School is a formally authorized IB Continuum School.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.1,1,authorized IB Continuum School,1.0,ib
F021,IB Continuum status confirms authority to deliver the full suite of IB programmes across all age groups.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.1,1,full suite of IB programmes,1.0,ib
F022,The Primary Years Programme (PYP) was originally authorized in April 2009; the certificate was reissued in November 2025.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,PYP April 2009,1.0,ib
F023,"The Middle Years Programme (MYP) was originally authorized in April 2018; the certificate was reissued in November 2025; it is authorized for Years 1, 2, 3, 4, and 5.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,MYP April 2018,1.0,ib
F024,The Diploma Programme (DP) was originally authorized in May 2006; the certificate was reissued in November 2025.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,DP May 2006,1.0,ib
F025,The Career-related Programme (CP) was authorized in October 2025.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,CP October 2025,1.0,ib
F026,"All reissued IB certificates are signed by Olli-Pekka Heinonen, Director General (Geneva).",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,2,signed by Olli-Pekka Heinonen,1.0,ib
F027,The Diploma Programme (May 2006) is the earliest IB programme authorized at the school.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Identity Q10,4,earliest IB program authorized,1.0,ib
F028,"The school offers four distinct IB programmes: PYP, MYP, DP, and CP.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Curriculum Q15,5,"Four (PYP, MYP, DP, and CP)",1.0,ib
F029,The school is authorized for IB for Standard I through Standard XII.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Curriculum Q10,5,IB for Std. I through Std. XII,1.0,ib
F030,Original IB certificates feature a hologram and a watermark for authenticity verification.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Curriculum Q14,5,hologram and a watermark,1.0,ib
F031,The PYP covers the Primary Education Framework.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,Primary Education Framework,1.0,ib
F032,The DP covers the Pre-university Academic Framework.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,Pre-university Academic Framework,1.0,ib
F033,The CP covers the Vocational/Career-focused Framework.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 2.2,1,Vocational/Career-focused Framework,1.0,ib
F034,The foundational benefits of the IB Continuum are a visionary approach to education and holistic student development.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Curriculum Q12,5,visionary approach; holistic development,1.0,ib
