id,type,title_or_headline,date,summary_or_publisher_count,text_or_urls
PR-2025-10-15-RANKINGS,press_release,MIT Vishwashanti Gurukul World School Tops EducationWorld India School Rankings 2025-26,2025-10-15,Ranked Maharashtra's No. 1 and India's No. 4 International Residential School,"MIT Vishwashanti Gurukul World School (VGWS), a premier IB World School and leading boarding school in Pune, has achieved top honours in the EducationWorld India School Rankings 2025-26, being ranked No. 1 International Residential School in Maharashtra and No. 4 in India. This recognition from EducationWorld, described in the release as India's most comprehensive and credible school ranking survey, affirms VGWS's position among the best international residential schools in India.

A Milestone A..."
PR-2024-ANNUAL-DAY-KIRAN-BEDI,press_release,Vishwashanti Gurukul World School Hosts Dr. Kiran Bedi as Chief Guest for Annual Day 2024,2024,"Annual Day 2024 celebration featured Dr. Kiran Bedi, India's first female IPS officer, as chief guest","Vishwashanti Gurukul World School, Pune celebrated its Annual Day 2024 with a display of talent, culture, and creativity, featuring Dr. Kiran Bedi as the chief guest. The programme commenced with a Welcome Address by Vice Principal Mr. Arpit Sharma, followed by the World Peace Prayer, the Lighting of the Lamp, and the Ganesh Vandana.

The Curtain Raiser, titled 'So Many Colours', was performed by EY1 and EY2 students. The Australian Chair Dance, Academic Toppers Reward, and Sports Achievement se..."
PR-IBCP-AUTHORIZATION,press_release,Vishwashanti Gurukul World School Receives Official Authorization from IBO to Offer International Baccalaureate Career-related Programme,,VGWS receives IBO authorization for the IB Career-related Programme (IBCP),"Vishwashanti Gurukul World School is proud to announce that it has officially received confirmation and authorization from the International Baccalaureate® Organisation (IBO) to offer the International Baccalaureate Career-related Programme (IBCP). This milestone reinforces the school's commitment to academic excellence, holistic development, and global education.

The IBCP is a framework designed to equip students with both academic knowledge and practical career skills. With this authorization..."
,press_citation,Event Announcement on Is Your Child’s Screen Time Keeping You Up at Night,,1,https://www.mitgurukul.com/events/is-your-childs-screen-time-keeping-you-up-at-night/
,press_citation,Tops Education World India School Rankings 2025-26,,1,https://www.mitgurukul.com/tops-education-world-india-school-rankings-2025-26
,press_citation,MIT Vishwashanti Gurukul World School Achieves 100% Global University Placements with Scholarships – May 2026,,8,https://hindustanmetro.com/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://hindustanbytes.com/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://english.punjabbytes.com/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://influenciveindia.in/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://thedailybeat.in/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://theviralbytes.in/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://tptv.in/mit-vishwashanti-gurukul-world-school-achieves-100-global-university-placements-with-scholarships-may-2026 | https://dhunt.in/140ozh
,press_citation,"MIT Vishwashanti Gurukul World School, Pune Granted Membership by the Boarding Schools’ Association of India (BSAI)",,2,https://www.trendtrackers.in/mit-vishwashanti-gurukul-world-school-pune-granted-membership-by-the-boarding-schools-association-of-india-bsai | https://www.sangritoday.com/spotlight/mit-vishwashanti-gurukul-world-school-pune-granted-membership-by-the-boarding-schools-association-of-india-bsai
,press_citation,Vishwashanti Gurukul World School Honored as Top Boarding School at Global Education Summit 2024,,2,https://english.revoi.in/vishwashanti-gurukul-world-school-honored-as-top-boarding-school-at-global-education-summit-2024-2/ | Vishwashanti Gurukul World School Honored as Top Boarding School at Global Education Summit 2024 – Revoi.in
,press_citation,Vishwashanti Gurukul World School Receives Official Authorization from IBO to Offer International Baccalaureate Career-related Programme,,1,https://entrepreneurstreet.in/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-baccalaureate-career-related-programme/
,press_citation,Vishwashanti Gurukul World School Receives Official Authorization from IBO to Offer International Baccalaureate Career-related Programme (IBCP),,3,https://hindustaninsider.in/2025/10/16/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-baccalaureate-career-related-programme/ | https://urbanchronicle.in/2025/10/16/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-baccalaureate-career-related-programme/ | https://medium.com/@dm2.spatzmedia/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-00365cefa63d
,press_citation,Vishwashanti Gurukul World School Receives Official Authorization from IBO to Offer International Baccalaureate Career-related Programme (CP),,2,https://trendinsider.in/2025/10/16/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-baccalaureate-career-related-programme/ | https://desispotlight.in/2025/10/16/vishwashanti-gurukul-world-school-receives-official-authorization-from-ibo-to-offer-international-baccalaureate-career-related-programme/
,press_citation,Vishwashanti Gurukul World School Hosts Dr. Kiran Bedi as Chief Guest for Annual Day 2024,,1,Vishwashanti Gurukul World School Hosts Dr. Kiran Bedi as Chief Guest for Annual Day 2024 – Deccan Express
,press_citation,School name is now MIT Vishwashati Gurukul World School Modified and Rebranded as Vishwashati Gurukul World School -VGWS,,1,https://hindustanmetro.com/mit-vishwashanti-gurukul-world-school-begins-a-new-chapter-as-vishwashanti-gurukul-world-school
,press_citation,*The Future Doesn't Belong to Students Who Simply Score Higher. It Belongs to Those Who Discover Their Purpose Earlier.*,,1,https://hindustanbytes.com/the-future-doesnt-belong-to-students-who-simply-score-higher-it-belongs-to-those-who-discover-their-purpose-earlier
,press_citation,IBCP Program,,1,https://thedailybeat.in/the-future-doesnt-belong-to-students-who-simply-score-higher-it-belongs-to-those-who-discover-their-purpose-earlier
,press_citation,IBCP Program at Vishwashanti Gurukul World School,,1,https://hindustanmetro.com/the-future-doesnt-belong-to-students-who-simply-score-higher-it-belongs-to-those-who-discover-their-purpose-earlier
,press_citation,"Best School for IBCP Program in India, Boarding School",,1,https://english.punjabbytes.com/the-future-doesnt-belong-to-students-who-simply-score-higher-it-belongs-to-those-who-discover-their-purpose-earlier-4561
